"Tilda UID",Brand,SKU,Mark,Category,Title,Description,Text,Photo,Price,Quantity,"Price Old",Editions,Modifications,"External ID","Parent UID",Characteristics:Производитель,Characteristics:Форма,Characteristics:Упаковка,Characteristics:Отжим,"Characteristics:Тип масла",Characteristics:Объем,"Characteristics:Вид колбасы",Characteristics:Сорт,Characteristics:Состав,Characteristics:Фасовка,"Characteristics:Вид кофе","Characteristics:Форма выпуска","Characteristics:Степень обжарки","Characteristics:Степень помола","Characteristics:Тип шоколада","Characteristics:Вид рыбы","Characteristics:Основа паштета",Characteristics:Тип,"Characteristics:Количество в упаковке","Characteristics:Размер чайного листа","Characteristics:Тип специй",Weight,Length,Width,Height,"SEO title","SEO descr","SEO keywords","FB title","FB descr",Url
207818399021,,207818,Вьетнам,"Сухофрукты и цукаты;HoReCa","Манго сушеное/вяленое","Манго сушеное натуральное Вьетнам","Манго сушеное натуральное в сахаре. Привлекательно смотрятся, имеют приятный запах и вкус, широко применяются в кулинарии, диетологии и даже при лечении некоторых заболеваний.<br /><strong>В состав 100 грамм продукта входят:</strong><br /><ul><li>белки — 1,5 %;</li><li>жиры — 0,8 %;</li><li>углеводы — 81,6 %.</li></ul><strong>Польза сушеного манго</strong> доказана учеными, растения оказывают на организм человека такое лечебное воздействие:<br /><ul><li>профилактика заболеваний сердечно-сосудистой системы;</li><li>стабилизация артериального давления;</li><li>вывод токсинов из желудочно-кишечного тракта;</li><li>восстановление слуха и зрения;</li><li>устранение нервозности и чувства страха;</li><li>лечение анемии и атеросклероза;</li><li>снижение раздражительности;</li><li>снятие усталости, в том числе хронической;</li><li>укрепление иммунной системы;</li><li>нормализация сна;</li><li>улучшение реакции и памяти;</li><li>снижение риска возникновения онкологических заболеваний;</li><li>укрепление стенок кровеносных сосудов.</li></ul><strong>Технология производства :</strong><br /><ol><li>Спелые плоды подвергаются сортировке, мойке и дезинфекции.</li><li>В специальной машине с фруктов снимается кожица. Она потом идет на изготовление джемов и приправ.</li><li>Производится нарезка на тонкие дольки.</li><li>Полуфабрикаты помещаются в сушильную камеру (дегидратор), где из них удаляется до 80% влаги. Небольшая температура обработки предотвращает уничтожение полезных веществ в мякоти.</li><li>Высушенные полоски покрываются рисовым маслом, сахарным сиропом или диоксидом серы.</li></ol>","https://static.tildacdn.com/tild3839-3832-4334-b362-306531356663/2441553825_w640_h640.jpg https://static.tildacdn.com/tild3539-3237-4366-b764-373964356530/sushenoe-mango1.jpg",,,,,,3iSOI1v3JLO9LiRlVS1p,,Вьетнам,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"Манго сушеное/вяленое","Манго сушеное/вяленое",,"Манго сушеное/вяленое","Манго сушеное/вяленое",https://smartfood.org.ua/driedfruits/tproduct/320927450-207818399021-mango-sushenoevyalenoe
909569889291,,909569,,,"Манго сушеное/вяленое / 500г- 500г",,,,227.00,,,Фасовка:500г,,F2Y2xGk5yXgtZgynFhcL,207818399021,,,,,,,,,,,,,,,,,,,,,,500,0,0,0,,,,,,https://smartfood.org.ua/driedfruits/tproduct/320927450-207818399021-mango-sushenoevyalenoe?editionuid=909569889291
577126552881,,577126,,,"Манго сушеное/вяленое / 1кг- 1кг",,,,440.00,,,Фасовка:1кг,,ULokPRSnZ5VJO58hN5sv,207818399021,,,,,,,,,,,,,,,,,,,,,,1000,0,0,0,,,,,,https://smartfood.org.ua/driedfruits/tproduct/320927450-207818399021-mango-sushenoevyalenoe?editionuid=577126552881
426602872841,,,Иран,"Орехи;Топ товары","Кешью жареный","Кешью жареный натуральный на развес","Кешью жареный по составу близок к кешью сырому, и во многом повторяет его полезные свойства. <br />Усиливает иммунитет, нормализует деятельность сердца и сосудов, уменьшает уровень вредного холестерина в крови, защищает клетки от действия свободных радикалов, омолаживает организм и питает его полезными веществами (витаминами Е, В, А, РР; минералами магнием, калием, кальцием, железом; аминокислотами триптофаном, глицином, лизином; полиненасыщенными Омега-3 кислотами и др.). Кешью обладают антисептическими, противомикробными и противобактериальными свойствами. Поэтому отвар орехов, как и сами они полезны при заболеваниях дыхательных путей (грипп, бронхит). Считается, что кешью — природный афродизиак, воздействующий как на мужчин, так и на женщин. <br /><br /><strong>ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ:</strong><br />17,5 белки,<br />30,5 углеводы,<br />42,2 жиры,<br />572,0 калорийность",https://static.tildacdn.com/tild6639-3564-4362-a161-316437343962/778648289_w640_h640_.jpg,,,,,,6iTVYm8JPByEbd530bKx,,Иран,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"Кешью жареный","Кешью жареный",,"Кешью жареный","Кешью жареный",https://smartfood.org.ua/nuts/tproduct/320926945-426602872841-keshyu-zharenii
965640103851,,965640,,,"Кешью жареный / 1кг- 1кг",,,,633.00,,,Фасовка:1кг,,zAig44NgfTC7dB5Vvefy,426602872841,,,,,,,,,,,,,,,,,,,,,,1000,0,0,0,,,,,,https://smartfood.org.ua/nuts/tproduct/320926945-426602872841-keshyu-zharenii?editionuid=965640103851
376121938161,,376121,,,"Кешью жареный / 500г- 500г",,,,318.00,,,Фасовка:500г,,xzD4D2SdNYkUgZbSZnJZ,426602872841,,,,,,,,,,,,,,,,,,,,,,500,0,0,0,,,,,,https://smartfood.org.ua/nuts/tproduct/320926945-426602872841-keshyu-zharenii?editionuid=376121938161
107777128241,,,Индия,"Орехи;Мука, крупы, мюсли, кранчи;Диетические продукты","Нут, турецкий горох","Нут, турецкий горох, Индия","Этот представитель бобовых очень богат протеином, элементом так важным для нашего организма, а в особенности для тех, кто по тем или иным причинам отказался от употребления мяса в пищу. Кроме того, продукт насыщен кальцием, магнием, фосфором и фолиевой кислотой, важными элементами в питании беременных женщин. Есть множество способов приготовить нут, сохраняя его полезные вещества и замечательные вкусовые качества.<br />В семенах нута содержится около 20—30 % белка, 50—60 % углеводов, до 7 % жиров<br />",https://static.tildacdn.com/tild3334-6632-4438-b261-333262653561/66d0a523af5890003bb6.jpg,,,,,,EVOmAm97Tml4pfeljUvL,,Индия,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"Нут, турецкий горох","Нут, турецкий горох",,"Нут, турецкий горох","Нут, турецкий горох",https://smartfood.org.ua/nuts/tproduct/320926945-107777128241-nut-turetskii-goroh
114154157311,,114154,,,"Нут, турецкий горох / 1кг- 1кг",,,,115.00,,,Фасовка:1кг,,5VHEg2Xmn79NcE4ohOrv,107777128241,,,,,,,,,,,,,,,,,,,,,,1000,0,0,0,,,,,,https://smartfood.org.ua/nuts/tproduct/320926945-107777128241-nut-turetskii-goroh?editionuid=114154157311
778465479011,,778465,,,"Нут, турецкий горох / 500г- 500г",,,,69.00,,,Фасовка:500г,,VecP98hJcaCz5mnc0Ff4,107777128241,,,,,,,,,,,,,,,,,,,,,,500,0,0,0,,,,,,https://smartfood.org.ua/nuts/tproduct/320926945-107777128241-nut-turetskii-goroh?editionuid=778465479011
131415586551,,,Украина,"Семена, семечки","Тыквенная семечка Премиум","Тыквенные семечки очищенные#nbsp;Премиум","По содержанию цинка тыквенные семечки в тройке лидеров: всего 30 гр семян восполняют до 70% суточной потребности в этом микроэлементе. Так как семечки насыщенны на 30-50% тыквенным маслом, их часто употребляют люди, придерживающиеся вегетарианства или во время поста, как замену животным жирам. Тыквенные семечки давали ослабленным людям в качестве общеукрепляющего средства.<br /><br /> Калорийность на 100 грамм 542 кКал<br />Белки 25<br />Жиры 45<br />Углеводы 14",https://static.tildacdn.com/tild3035-3235-4238-b466-353861373963/6149264624.jpg,,,,,,r3RdzdKFcRBoEJTZXgvZ,,Украина,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"Тыквенная семечка","Тыквенная семечка",,"Тыквенная семечка","Тыквенная семечка",https://smartfood.org.ua/seeds/tproduct/320930816-131415586551-tikvennaya-semechka-premium
410214732571,,410214,,,"Тыквенная семечка Премиум / 1кг- 1кг",,,,349.00,,,Фасовка:1кг,,d6NfeLxttBhcbd13kZ2Z,131415586551,,,,,,,,,,,,,,,,,,,,,,1000,0,0,0,,,,,,https://smartfood.org.ua/seeds/tproduct/320930816-131415586551-tikvennaya-semechka-premium?editionuid=410214732571
425982809521,,425982,Иран,Снеки;Орехи;HoReCa,"Фисташки соленые Иран","Фисташки соленые высокого качества на развес","Фисташки имеют высокую питательную ценность — содержат более 50 процентов жиров, белки, углеводы. <br /><br />Также фисташка богата витаминами группы B, Е, железом, медью, цинком, калием, кальцием, натрием, кремнием, магнием, селеном, фосфором, холином и другими микроэлементами и минералами. Фисташки оказывают антиоксидантное и тонизирующее действие, снижают риск онкологических заболеваний, тормозят процессы старения. Их называют «орехами молодости». Благотворно влияют на сосуды и мозговую деятельность. Особую ценность для костной ткани имеет накапливающийся в орехах кальций. Орехи фисташки обладают противовоспалительным и отхаркивающее действие, укрепляют иммунитет, лечит ЖКТ, укрепляют глазные мышцы, помогают очистить свой организм от шлаков и т.д.,","https://static.tildacdn.com/tild3537-3037-4434-b761-383134323463/fistashkasiraya4.jpg https://static.tildacdn.com/tild6436-6436-4534-b764-323162383738/images.jpg",,,,,,h1IoDjYfK2UxAV81moln,,Иран,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"Фисташки соленые Иран","Фисташки соленые Иран",,"Фисташки соленые Иран","Фисташки соленые Иран",https://smartfood.org.ua/snacks/tproduct/320925559-425982809521-fistashki-solenie-iran
223846647611,,223846,,,"Фисташки соленые Иран / 500г- 500г",,,,304.00,,,Фасовка:500г,,XlXPlETZzs48vmnlnOOU,425982809521,,,,,,,,,,,,,,,,,,,,,,500,0,0,0,,,,,,https://smartfood.org.ua/snacks/tproduct/320925559-425982809521-fistashki-solenie-iran?editionuid=223846647611
312246584961,,312246,,,"Фисташки соленые Иран / 1кг- 1кг",,,,604.00,,,Фасовка:1кг,,fUyObhbyZ0Znxto9BvJ3,425982809521,,,,,,,,,,,,,,,,,,,,,,1000,0,0,0,,,,,,https://smartfood.org.ua/snacks/tproduct/320925559-425982809521-fistashki-solenie-iran?editionuid=312246584961
732926887571,,,Австралия,"Орехи;Топ товары","Орех Макадамия в скорлупе","Орех Макадамия самый дорогой в мире орех","Чем полезен орех макадамия:<br />Растение макадамия не зря культивируется во многих странах, где известны его полезные свойства, а на выращивание тратятся силы и средства. На своей родине - Австралии орех традиционно входит в ежедневное меню, поэтому среди местных жителей почти не встречаются люди, организм которых страдает из-за повышенного содержания холестерина. Помогает орех макадамия так же при мигрени, авитаминозе, варикозе, целлюлите, артрите, ангине. Его полезные свойства позволяют снизить вероятностный риск онкологии, заболеваний сердца и сосудов. Орех помогает улучшить кровообращение, нормализует функционирование половых органов, восстанавливает потенцию и ежемесячный цикл у женщин. Аминокислоты, которые содержит макадамия, оказывают позитивное воздействие на тестостерон.<br /><br /> Калорийность ореха макадамия составляет 718 ккал на 100 грамм продукта Белки, г: 7.9 Жиры, г: 75.8 Углеводы, г: 5.2 <br /><br />Полезные свойства витаминов, которые содержит орех макадамия: положительно воздействуют на нервную систему; приводят в норму мышечный тонус после физической нагрузки и занятий спортом. Австралийский орех полезен для быстрого восстановления после напряженной умственной работы. Если нужно прийти в себя после тяжелой болезни, вспомните про орех, его полезные свойства поддержат организм. Плод макадамия, чье масло активно используется в косметологии, содержит пальмитиновую кислоту, благодаря которой кожа быстро регенетируется после ожогов. Растение макадамия вобрало в себя всю пользу и теплоту тропического солнца, силу целебного воздуха и ветра, которые помогали ему расти, поэтому организм с готовностью воспринимает все полезные свойства, которые дарит его плод, сколупа, вырабатываемое масло. Кстати, масло, которое содержит орех макадамия, способствует регенерации кожи, способствует ее увлажнению и сохранению эластичности. Беременным женщинам орех макадамия способен принести много хорошего, его полезные свойства поддержат организм, который в этот период очень уязвим и нуждается в поддержке. Малышу необходимо расти и набираться сил, а маме необходимо заботиться о нем и о себе с удвоенной силой. Орех макадамия, кроме того, что он природный антиоксидант, может стать источником витаминов, полезных минералов, кислот, а масло, которое содержит его ядро, очень хорошо использовать при массаже, так как оно разгладит растяжки, возникающие при беременности, а впоследствии поможет ухаживать за нежной кожицей малыша. Плод макадамия оказывает противовоспалительный эффект, орех купирует спазмы, успокаивает нервную систему, восстанавливает психо эмоциональный баланс, так как его ядро содержит магний. Цинк, который содержит растение, благоприятно воздействует на состояние волос, ногтей, кожи, а приятным бонусом, который при регулярном употреблении подарит орех макадамия, станет повышение сниженной из-за беременности сексуальности. Клетчатка, которую содержит орех, предотвращает запоры, нормализует микрофлору кишечника, стабилизирует пищеварение. Плод макадамия поможет лучше усваиваться железу, пополнит организм запасами витаминов, укрепляющих иммунитет. Часто во время беременности повышается уровень холестерина и, как следствие, кровяное давление, орех поможет устранить эти неприятные и, зачастую, опасные явления. Дневная норма – от тридцати до пятидесяти грамм, которые желательно разделить на три приема в течение дня. Орех макадамия, а так же масло, которое содержат его ядро и скорлупа, очень калорийны и рекомендованы желающим снизить вес. Парадокс? Нисколько! Дело в том, что орех способен небольшим количеством снабдить организм необходимым белком и другими питательными веществами, если им заменить один из приемов пищи. При ежедневном регулярном употреблении всего двадцати граммов, орех нормализует естественный метаболизм, вследствие чего вес начнет плавно снижаться. Масло, которое содержит растение, стало основным компонентом Средиземноморской диеты, которая по не без основания считается одной из самых здоровых. На ее основе создана популярная Хемптоновская диета, использующая все то же масло, исходником котором является плод макадамия. Растение нашло применение при приготовлении самых разнообразных блюд, причем в ход идут не только ядро, но и скорлупа. Орех является компонентом вкусных супов, десертов, вторых блюд, салатов. Поджаренная макадамия и кофе – рецепт вкусного и полезного завтрака. Крупный орех, если его поджарить и окунуть в шоколаде, станет отличным лакомством. А скорлупа является основой для вкусной настойки с ванильным вкусом. А в Таиланде скорлупа используется как дрова, на которых часто коптят рыбу и другие морепродукты.","https://static.tildacdn.com/tild6665-3231-4139-b330-373337346436/6015677725.jpg https://static.tildacdn.com/tild3334-3339-4134-a136-316631616635/image.jpg",,,,,,Z53aP6EIrpnMKv66dg1F,,Австралия,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"Орех Макадамия","Орех Макадамия",,"Орех Макадамия","Орех Макадамия",https://smartfood.org.ua/nuts/tproduct/320926945-732926887571-oreh-makadamiya-v-skorlupe
332010080121,,332010,,,"Орех Макадамия в скорлупе / 1кг- 1кг",,,,875.00,,,Фасовка:1кг,,pp1nmg07heELkhisgndv,732926887571,,,,,,,,,,,,,,,,,,,,,,1000,0,0,0,,,,,,https://smartfood.org.ua/nuts/tproduct/320926945-732926887571-oreh-makadamiya-v-skorlupe?editionuid=332010080121
530587440201,,530587,,,"Орех Макадамия в скорлупе / 500г- 500г",,,,449.00,,,Фасовка:500г,,tgXVeftrPSvDAZOCsdeR,732926887571,,,,,,,,,,,,,,,,,,,,,,500,0,0,0,,,,,,https://smartfood.org.ua/nuts/tproduct/320926945-732926887571-oreh-makadamiya-v-skorlupe?editionuid=530587440201
770610268191,,921649,Индия,"Семена, семечки","Кунжут черный 1 кг.","Семена кунжута, растения Sesam не шлифованные 1кг. Индия","Кунжут черный – это семена растения sesam, не подвергшиеся шлифовке. По легендам именно он – черный кунжут - входил в состав знаменитого эликсира бессмертия. Он и сегодня считается наиболее полезным. Вкус и аромат Семена кунжута имеют ореховый аромат и нейтральный ореховый вкус. Семена черного кунжута имеют более ярко выраженный вкус и аромат. Гарантия высшего качества Хороший кунжут не содержит никаких примесей, при поджаривании он приобретает яркий ореховый вкус и аромат без прогорклых тонов.",https://static.tildacdn.com/tild3862-6665-4333-b031-663435343966/3006056110_kunzhut-c.jpg,289.00,,,,,kdMi5N55V7cGfFnDGyNA,,Индия,,,,,,,,,,,,,,,,,,,,,1000,0,0,0,"Кунжут черный 1 кг.","Кунжут черный 1 кг.",,"Кунжут черный 1 кг.","Кунжут черный 1 кг.",https://smartfood.org.ua/seeds/tproduct/320930816-770610268191-kunzhut-chernii-1-kg
821557301431,,,Иран,Орехи,"Фундук сырой/ломбардский орех","Фундук сырой/ломбардский орех#nbsp;","Фундук - плоды лещины крупной, или ломбардского ореха. Ядро составляет 25-63% массы ореха. <br /><br />Фундук используется в пищу, в кондитерской промышленности и для получения масла. Основные производители фундука - страны Средиземноморья. Фундук богат питательными веществами, по калорийности (около 700 килокалорий) он превосходит 2-3 раза хлеб, 8 раз молоко, а так же шоколад. <br /><br />В нем содержится до 60% масла, состоящего из глицеридов олеиновой, стеариновой и пальмитиновой кислот, которые препятствуют росту холестерина в крови, защищают от сосудистых заболеваний, а также крайне необходимы для растущего организма. Лесной орех также характеризуется высоким содержанием белка (20%), наличием витаминов В1, В2, С, Е, минеральных веществ: калия, железа, кобальта, фосфора, кальция, цинка, циамина, ниацина, протеина. Наиболее важной особенностью витамина Е является его способность препятствовать образованию канцерогенных факторов в организме: является мощным профилактическим средством против рака, а также болезней сердца и мышечной системы. Кальций укрепляет кости и зубы, железо необходимо крови, цинк – для выработки половых гормонов, калий – деятельности нервной и мышечной системы. Как продукт диетического питания используется при заболеваниях сердечно сосудистой системы и малокровии, увеличении предстательной железы, при варикозном расширении вен, флебитах, трофических язвах глени и капиллярных геморрагиях. Его можно употреблять и людям с сахарным диабетом, а благодаря низкому содержанию углеводов его можно есть и при очень строгой диете без риска поправиться. В нем содержатся вещества, способствующие введению шлаков из организма (особенно из печени). Употребление фундука предотвращает гнилостные процессы, очищает организм и укрепляет иммунную систему. Фундук является источником энергии для человека - 100 г. орехов фундука содержит 639 ккал, а также высокий процент белка, от 16 до 19%. В ядрах ореха фундука содержится 60+5% масла, состоящего из глицеридов олеиновой, стеариновой и пальмитиновой кислот, которые препятствуют росту холестерина в крови, защищают от сосудистых заболеваний, а также крайне необходимы для растущего организма. Поэтому фундук должен быть неотъемлемой частью питания детей, молодежи, а особенно лиц пожилого возраста.",https://static.tildacdn.com/tild3231-3363-4965-b739-613764373839/lishtina-sira-100g.jpeg,,,,,,IKBPvf4mC7kOFnfIY6Rz,,Иран,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"Фундук сырой/ломбардский орех","Фундук сырой/ломбардский орех",,"Фундук сырой/ломбардский орех","Фундук сырой/ломбардский орех",https://smartfood.org.ua/nuts/tproduct/320926945-821557301431-funduk-siroilombardskii-oreh
833875965311,,833875,,,"Фундук сырой/ломбардский орех / 1кг- 1кг",,,,549.00,,,Фасовка:1кг,,EVARkmlUr6DxgoldZKE4,821557301431,,,,,,,,,,,,,,,,,,,,,,1000,0,0,0,,,,,,https://smartfood.org.ua/nuts/tproduct/320926945-821557301431-funduk-siroilombardskii-oreh?editionuid=833875965311
374181051671,,374181,,,"Фундук сырой/ломбардский орех / 500г- 500г",,,,281.00,,,Фасовка:500г,,g04nc8N9jvS5BIu7bl3x,821557301431,,,,,,,,,,,,,,,,,,,,,,500,0,0,0,,,,,,https://smartfood.org.ua/nuts/tproduct/320926945-821557301431-funduk-siroilombardskii-oreh?editionuid=374181051671
